Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity Quinn Florist,New Quantity Quinn Florist,Stock Alert Enabled Quinn Florist,Stock Alert Count Quinn Florist,Modifier Set - Funerals,Modifier Set - Type,Modifier Set - Wedding
3ZHSXSWRSWI2UUP37VC57II5,"""'Tis The Season"" Hot Cocoa Christmas Greeting Card",Regular,N-BM-GC-382,"Get prepared for the holiday season and get excited for hot cocoa! This cute ""t'is the season"" card is a great way to spread cheer.

-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn

Categories: christmas, christmas cards, christmas decor, christmas greeting cards, holiday cards, holiday season, winter, seasonal cards, friendship, friend greeting cards, cute greeting cards, greeting cards, floral, flowers, winter flowers, christmas ornaments, holiday ornaments, holiday decorations, christmas 2025, stocking stuffers, tis the season.",,,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,0,,,,N,N,N
CHJJDJWCOWJLAGRBK7BDBDA6,"""CONGRATS!"" Greeting Card",Regular,N-BM-GC-224,"Celebration Card. Congrats Greeting Card great to celebrate graduations, weddings, retirements, new jobs, new baby, and more.

-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn

Graduation Card, Grad Card, Celebration Card, Retirement Card, Retirement, Greeting Card, Cheers, Congratulations Card, Congrats Card, Celebration, College Graduation, New Job, Divorce, Marriage, Divorce Card, Marriage Card, Wedding Card, Baby Card, Baby Shower.","Greeting Cards, Faire",Faire,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,0,,,,N,N,N
LPRMBYRS24ZMPD6LNJ2BZ7NZ,"""Congratulations to you"" Pink Flowers Card",Regular,N-BM-GC-739,"Celebrate big wins, small victories and everything inbetween with this ""congratulations to you"" greeting card featuring a beautiful floral design.

-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn

Categories: congratulations card, congratulations cards, greeting card, greeting cards, card, cards, congrats card, congrats cards, celebratory card, achievement card, milestone card, graduation card, new job card, promotion card, well done card.","Greeting Cards, Faire",Faire,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,-2,,,,N,N,N
6ERXQAWOIW6ZPW6M2EZ7I2NM,"""Forever In Love With You"" Valentine & Anniversary Card",Regular,N-BM-GC-145,"""Forever in love with you"" Valentine's Day Card and Anniversary Card. Perfect greeting card gift for your valentine or to celebrate anniversaries, or just for your every day reminder.


Details: 
-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn

tags: valentine, valentine's day, valentine's day card, valentines day, valentines day card, love, gift, fun, whimsical, cute, unique, colorful, fun, greeting card, retro, groovy, lettering","Greeting Cards, Faire",Faire,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,-5,,,,N,N,N
MJFH75JGKIESOBXJH6RMZLYP,"""Happy Hanukkah"" Star of David Holiday Greeting Card",Regular,N-BM-GC-433,"Celebrate the Festival of Lights with our 'Happy Hanukkah' card, featuring a beautiful menorah design. Perfect for sending warm wishes and joy to family and friends during this special season.

-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn

Categories, hanukkah, hanukkah greeting cards, holiday, holiday cards, hanukkah cards, menorah, festival of lights, chanukah.",,,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,0,,,,N,N,N
LPV4DQGDQSP2LQRNPOP54OQH,"""Happy anniversary my love"" Anniversary Card",Regular,N-BM-GC-479,"Celebrate another year of love with this adorable ""happy anniversary my love"" greeting card.

-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn

Categories: valentine, valentine's day, valentine's day card, valentines day, valentines day card, anniversary, anniversary card, couples card, love, couples, text, lettering, minimalist cards, minimal greeting cards, couples greeting cards.","Greeting Cards, Faire",Faire,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,-6,,,,N,N,N
3DXHAQOHTFGQLDVERDZTUPAJ,"""Happy birthday"" Spring Wildflower Cursive Text Card",Regular,N-BM-GC-553,"Wish someone special a happy birthday with this spring wildflower themed birthday card.

-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn

Categories: birthday card, greeting card, happy birthday card, cute birthday card, birthday gift, birthday wishes card, birthday gift card, elegant birthday card, spring, spring birthday card, florals, floral birthday card, garden birthday card, pastel birthday card, bloom, bloom birthday card, cottagecore birthday card, aesthetic birthday card, illustrated birthday card, wildflowers.","Greeting Cards, Faire",Faire,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,-4,,,,N,N,N
5OJ5PPVHYYNR773345BLP5DX,"""Love"" Anniversary & Valentine's Card",Regular,N-BM-GC-141,"""LOVE"" Valentine's Day Card / Anniversary Card. Perfect gift for Valentines Day or Anniversaries.

Details: 
-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn

valentine, valentine's day, valentine's day card, valentines day, valentines day card, anniversary, anniversary card, love, gift for girlfriend, gift for boyfriend, fun, whimsical, cute, unique, colorful, fun, greeting card","Greeting Cards, Faire",Faire,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,-5,,,,N,N,N
F6XNVKWT3ZJPLGB6OYGOF6F2,"""Merry Christmas"" Christmas Decor Greeting Card",Regular,N-BM-GC-378,"This christmas card has got it all, trees, gifts, lights and more... all it needs is a recipient in need of some christmas cheer!

-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn

Categories: christmas, christmas cards, christmas decor, christmas greeting cards, holiday cards, holiday season, winter, seasonal cards, friendship, friend greeting cards, cute greeting cards, greeting cards, christmas tree, gifts, presents, lights, christmas ornaments, holiday ornaments, holiday decorations, christmas 2024, stocking stuffers.",,,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,0,,,,N,N,N
NSVCFM5XFRFJTYBQRL4NZCDV,"""Olive You"" Card",Regular,N-BM-GC-071,"""Olive You"" Greeting Card! Perfect your favorite person. 

-A2 Size (4.25 x 5.5 inches folded).
-Printed on premium 16pt thick cardstock with a matte finish.
-Paired with a coordinated kraft or holiday color envelope.
-BLANK INSIDE
-Hand Drawn

Valentine's Day Card, Valentine's Day Gift, Anniversary Card, Anniversary Gift, valentine","Greeting Cards, Faire",Faire,,,,,unavailable,Physical good,,,,Y,,,,4.95,,N,,,,,,,,,1.95,Big Moods,,-5,,,,N,N,N
