Reference Handle,Token,Item Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Auto Add Item to Check,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled Mia's Bakery,Current Quantity Mia's Bakery,New Quantity Mia's Bakery,Stock Alert Enabled Mia's Bakery,Stock Alert Count Mia's Bakery,Price Mia's Bakery,Enabled Mias UES,Current Quantity Mias UES,New Quantity Mias UES,Stock Alert Enabled Mias UES,Stock Alert Count Mias UES,Price Mias UES,Enabled Times Square,Current Quantity Times Square,New Quantity Times Square,Stock Alert Enabled Times Square,Stock Alert Count Times Square,Price Times Square,Modifier Set - Border Color,Modifier Set - Cake Pop Cupcake Flavor Choice,Modifier Set - Cupcake Flavor,Modifier Set - Cupcake Frosting,Modifier Set - Extra Shot Add-on,Modifier Set - Flavor - INST7PSUNRASXDKNC5NF7UUI,Modifier Set - Flavor - QDJSMW4SXF3MTFEZDQ6QJIZC,Modifier Set - Flavors,Modifier Set - Hot Drinks Extra Shot Choice,Modifier Set - Inscription,Modifier Set - Size,"Tax - New York, New York (11201) (8.875%)"
#12-large-cookies-tray-to-go-,XXIM24CFGSB7CRX3LLQ72TVY,12 Large Cookies Tray to Go,,,8404969,,Cookie Packs to Go,Cookie Packs to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,24.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#12-pack-cupcakes-to-go-,KKK5CCJO6A5OJAQH3RZ2WCEB,12 Pack Cupcakes to Go,,,503730M,,Cupcakes to Go,Cupcakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,45.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#12-pack-french-macaron-to-go-,GOGROOWQZGKMUJNRNABJW5SK,12 Pack French Macaron to Go,,,686287Y,,Cookie Packs to Go,Cookie Packs to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,38.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#12-pack-vegan-cupcakes-to-go-,NYPFFCA3FNH6LZGQR7XPG6XZ,12 Pack Vegan Cupcakes to Go,,,9013356,,Cupcakes to Go,Cupcakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,49.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#24-pack-french-macaron-to-go-,LSXSGWAG6FYZLH47KWZKIZCD,24 Pack French Macaron to Go,,,954008J,,Cookie Packs to Go,Cookie Packs to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,70.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#4-pack-cupcakes-to-go-,ABX73SUP3PXIQ7WDZAEH7V35,4 Pack Cupcakes to Go,,,J147038,,Cupcakes to Go,Cupcakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,16.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#4-pack-tres-leches-to-go-,3GN7Y43Q7UVNNQ4IC5M4TWP5,4 Pack Tres Leches to Go,,,Q849195,,Cupcakes to Go,Cupcakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,18.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#5-slice-special-cake-slice,D3YWBXEOARXUC7Y2D5YVNKYD,5 Slice Special Cake,Slice,,V169162,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,38.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#5-slice-special-cake-7inch,AKWDHXOOCTRJGLLQLQP5SGBZ,5 Slice Special Cake,7inch,,Z429445,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,50.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#5-slice-special-cake-8inch,HPFTZMNCGPU6OKTWGVCW3ZAU,5 Slice Special Cake,8inch,,651105X,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,54.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#5-slice-special-cake-10inch,GEOEF6GLEJYGLQJFISV7C7T2,5 Slice Special Cake,10inch,,809255A,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,65.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#5-slice-special-cake-qs,JR5NDOL2URLA7CCWV2I4IKPU,5 Slice Special Cake,QS,,8712394,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,100.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#5-slice-special-cake-hs,CHKR3VROLBEAKWUR4WDOCLIW,5 Slice Special Cake,HS,,800238S,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,175.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#5-slice-special-cake-fs,LXQ4NBPAMTPKOOIT272NRUOH,5 Slice Special Cake,FS,,3772851,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,240.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#6-pack-cupcakes-to-go-,ITTWKAXXJELKCS7BI2HFV3SS,6 Pack Cupcakes to Go,,,C531010,,Cupcakes to Go,Cupcakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,23.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#6-pack-french-macaron-to-go-,YJORXAKKIBKVKOTLW5FOT6VW,6 Pack French Macaron to Go,,,M251886,,Cookie Packs to Go,Cookie Packs to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,21.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#6-pack-vegan-cupcakes-to-go-,LT5VFRFTADNOYZEOANNOJC46,6 Pack Vegan Cupcakes to Go,,,H403306,,Cupcakes to Go,Cupcakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,25.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#7-layer-bar-,ZJTDNBDRUJ7VXS4GCR4UAAGC,7 Layer Bar,,,283250D,,Brownies to Go,Brownies to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,6.25,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#7-layer-cake-slice,Z5YRBPGHUMBBZ5A6RKAIY7JZ,7 Layer Cake,Slice,,2748988,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
